,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
63,03/06/21,Connecticut,7704.0,0,,,428.0,0,,0,285330.0,0,0,,0,6520366.0,0,0,285330.0,7704.0,2437.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
64,03/06/21,District of Columbia,1030.0,3,,,150.0,0,,0,41273.0,151,0,29470.0,8000,1255637.0,8000,1280,41273.0,1030.0,3141.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
65,03/06/21,Delaware,1464.0,11,,,114.0,0,544153.0,1362,88139.0,265,0,,8757,1426075.0,8757,1627,88139.0,1464.0,2789.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
66,03/06/21,Florida,32200.0,107,82145.0,82145.0,3352.0,243,9319872.0,23282,1905185.0,4587,0,,87820,22274583.0,87820,27869,1940889.0,31619.0,3493.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
67,03/06/21,Georgia,17905.0,90,56762.0,56762.0,2071.0,135,,0,1021778.0,2269,0,,0,7340242.0,24765,0,996616.0,17347.0,3845.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
68,03/06/21,Guam,133.0,0,,,2.0,0,112887.0,0,7749.0,1,0,7590.0,0,120636.0,1,0,8718.0,134.0,,,,,,,,,,,,,,,,,,,,
69,03/06/21,Hawaii,444.0,1,2226.0,2226.0,27.0,1,,0,28646.0,85,0,,5284,1141679.0,5284,0,27774.0,441.0,4197.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
70,03/06/21,Iowa,5552.0,3,,,170.0,0,1043119.0,1515,282127.0,362,0,319780.0,0,1325246.0,1877,1871,339511.0,5553.0,5605.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
71,03/06/21,Idaho,1876.0,0,7179.0,7179.0,150.0,15,505429.0,504,172827.0,240,0,95808.0,0,645442.0,646,646,173011.0,1882.0,4549.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
72,03/06/21,Illinois,23002.0,56,,,1210.0,0,,0,1197267.0,2565,0,,0,18572096.0,79248,0,1200720.0,23002.0,4901.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
73,03/06/21,Indiana,12726.0,29,43153.0,43153.0,663.0,49,2478513.0,5155,666516.0,1231,0,,0,8212940.0,41718,6386,669754.0,12726.0,5253.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
